CSE,ECE,CIVIL,MECH,AGRI
XYZ0984,XYZ1239,,XYZ0597,XYZ3804
XYZ1664,XYZ2755,,XYZ3763,XYZ0620
XYZ4368,XYZ0057,,XYZ3683,XYZ2207
XYZ4718,XYZ2506,,XYZ2307,XYZ1275
XYZ4007,XYZ4909,,XYZ3246,XYZ2721
XYZ2830,XYZ2843,,XYZ1048,XYZ2812
XYZ4186,XYZ3811,,XYZ4783,XYZ1475
XYZ5187,XYZ4411,,XYZ3266,XYZ3998
XYZ4469,XYZ3976,,XYZ2339,XYZ0884
XYZ0621,XYZ4691,,XYZ4036,XYZ2281
XYZ2038,XYZ2954,,XYZ2031,XYZ1768
XYZ3151,XYZ0364,,XYZ1918,XYZ0924
XYZ3511,XYZ4286,,XYZ4637,XYZ3806
XYZ1578,XYZ1709,,XYZ4311,XYZ0127
XYZ0571,XYZ4625,,XYZ0832,XYZ2053
XYZ4496,XYZ1250,,XYZ3001,XYZ9834
XYZ1442,XYZ0264,,XYZ3749,XYZ3140
XYZ3151,XYZ0146,,XYZ1986,XYZ0970
XYZ2240,XYZ1834,,XYZ1885,XYZ2945
XYZ3505,XYZ4936,,XYZ1454,XYZ1963
XYZ2720,XYZ1438,,XYZ3297,XYZ1172
XYZ0992,XYZ1775,,XYZ0942,XYZ0628
XYZ2560,XYZ3844,,XYZ2689,XYZ0517
XYZ4528,XYZ1166,,XYZ1201,XYZ4582
XYZ0730,XYZ2212,,XYZ4413,XYZ1242
XYZ1815,XYZ2680,,XYZ3291,XYZ2375
XYZ3861,XYZ3843,,XYZ3333,XYZ0955
XYZ3679,XYZ3680,,XYZ1576,XYZ0481
XYZ2088,XYZ1002,,XYZ1490,XYZ0638
XYZ4542,XYZ4554,,XYZ1627,XYZ1337
XYZ0963,XYZ4733,,XYZ0370,XYZ4329
XYZ4299,XYZ4399,,XYZ4587,XYZ0331
XYZ1107,XYZ0286,,XYZ3667,XYZ0844
XYZ2998,XYZ3076,,XYZ3682,XYZ2874
XYZ3953,XYZ4580,,XYZ2013,XYZ3220
XYZ0736,XYZ0801,,XYZ0032,XYZ0290
XYZ3091,XYZ3198,,XYZ2979,XYZ1411
XYZ3784,XYZ1850,,XYZ3547,XYZ1157
XYZ0689,XYZ2376,,XYZ2998,XYZ4815
XYZ0642,XYZ2249,,XYZ0497,XYZ1757
XYZ1257,XYZ2324,,XYZ3044,XYZ3767
XYZ1467,XYZ0532,,XYZ4002,XYZ0479
XYZ2681,XYZ1828,,XYZ3835,XYZ1003
XYZ0107,XYZ1671,,XYZ4884,XYZ2514
XYZ3857,XYZ4029,,XYZ3735,XYZ1086
XYZ0622,XYZ1165,,XYZ0564,XYZ2050
XYZ2017,XYZ1552,,XYZ4748,XYZ3066
XYZ4068,XYZ4285,,XYZ2965,XYZ1912
XYZ2363,XYZ2827,,XYZ1281,XYZ2773
XYZ4697,XYZ3063,,XYZ3865,XYZ0751
XYZ0349,XYZ4625,,XYZ0828,XYZ0018
XYZ2770,XYZ1252,,XYZ3395,XYZ0394
XYZ2006,XYZ0475,,XYZ0878,XYZ2964
XYZ3679,XYZ1372,,XYZ1466,XYZ0116
XYZ4206,XYZ4922,,XYZ2319,XYZ3633
XYZ3339,XYZ2237,,XYZ3154,XYZ0055
XYZ2668,XYZ3821,,XYZ1337,XYZ2313
XYZ1370,XYZ2997,,XYZ0139,XYZ4158
XYZ3099,XYZ2120,,XYZ1877,XYZ4030
XYZ3013,XYZ0419,,XYZ3278,XYZ4091
XYZ2760,XYZ1675,,XYZ4109,XYZ0127
XYZ3831,XYZ2749,,XYZ0232,XYZ0949
XYZ2174,XYZ3999,,XYZ3255,XYZ3247
XYZ4651,XYZ2079,,,XYZ0277
XYZ2485,XYZ2850,,,
XYZ4635,XYZ1856,,,
XYZ1940,XYZ2018,,,
XYZ2053,XYZ2495,,,
XYZ1109,XYZ2623,,,
XYZ0293,XYZ0268,,,
XYZ4469,XYZ4094,,,
XYZ3263,XYZ3529,,,
XYZ1438,XYZ1077,,,
XYZ2878,XYZ3423,,,
XYZ4583,XYZ4707,,,
XYZ2260,XYZ2257,,,
XYZ0696,XYZ1505,,,
XYZ4782,XYZ3342,,,
XYZ0944,XYZ3640,,,
XYZ0212,XYZ4064,,,
XYZ0510,XYZ0917,,,
XYZ4103,XYZ4321,,,
XYZ2011,XYZ4433,,,
XYZ0320,XYZ2833,,,
XYZ4741,XYZ2015,,,
XYZ1565,XYZ4139,,,
XYZ3384,XYZ2566,,,
XYZ1616,XYZ4710,,,
XYZ3684,XYZ2922,,,
XYZ0089,XYZ4324,,,
XYZ1927,XYZ3810,,,
XYZ0331,XYZ0036,,,
XYZ0564,XYZ4715,,,
XYZ2098,XYZ3532,,,
XYZ4476,XYZ3853,,,
XYZ3369,XYZ0397,,,
XYZ1870,XYZ3481,,,
XYZ4114,XYZ1617,,,
XYZ4831,,,,
XYZ3086,,,,
XYZ3240,,,,
XYZ2021,,,,
XYZ1974,,,,
XYZ2649,,,,
XYZ1236,,,,
XYZ0894,,,,
XYZ0052,,,,
XYZ1760,,,,
XYZ2880,,,,
XYZ0898,,,,
XYZ0229,,,,
XYZ0259,,,,
XYZ2399,,,,
XYZ0583,,,,
XYZ2770,,,,
XYZ3855,,,,
XYZ4249,,,,
XYZ0866,,,,
XYZ2767,,,,
XYZ1985,,,,
XYZ4075,,,,
