CSE,ECE,CIVIL,MECH,AGRI
XYZ8923,XYZ0795,,XYZ0098,XYZ1085
XYZ0474,XYZ2020,,XYZ1924,XYZ2807
XYZ1746,XYZ4440,,XYZ4190,XYZ4359
XYZ0799,XYZ4297,,XYZ4835,XYZ0805
XYZ2691,XYZ1932,,XYZ3937,XYZ2466
XYZ0693,XYZ3580,,XYZ0408,XYZ2082
XYZ0996,XYZ1794,,XYZ2456,XYZ4115
XYZ1850,XYZ4804,,XYZ3154,XYZ1282
XYZ4889,XYZ0912,,XYZ0212,XYZ0797
XYZ4071,XYZ4429,,XYZ2519,XYZ4521
XYZ1413,XYZ2977,,XYZ3869,XYZ2366
XYZ4071,XYZ4732,,XYZ0557,XYZ4461
XYZ3723,XYZ3322,,XYZ2659,XYZ3549
XYZ4605,XYZ2845,,XYZ1497,XYZ1975
XYZ1956,XYZ0281,,XYZ0283,XYZ3645
XYZ1259,XYZ0772,,XYZ3028,XYZ2209
XYZ0823,XYZ3485,,XYZ4956,XYZ0983
XYZ0456,XYZ2342,,XYZ0501,XYZ2226
XYZ0680,XYZ4617,,XYZ0708,XYZ1705
XYZ2569,XYZ1073,,XYZ3912,XYZ1282
XYZ2214,XYZ1658,,XYZ2790,XYZ4206
XYZ2396,XYZ0500,,XYZ2659,XYZ2978
XYZ4458,XYZ1325,,XYZ1081,XYZ1438
XYZ0916,XYZ2978,,XYZ4672,XYZ2653
XYZ2564,XYZ0294,,XYZ2331,XYZ4874
XYZ1848,XYZ3782,,XYZ3124,XYZ3067
XYZ4752,XYZ0916,,XYZ0615,XYZ2650
XYZ0098,XYZ4673,,XYZ2544,XYZ1604
XYZ0480,XYZ0645,,XYZ4482,XYZ3738
XYZ1049,XYZ4774,,XYZ0638,XYZ4705
XYZ4407,XYZ2659,,XYZ1648,XYZ0249
XYZ1500,XYZ0828,,XYZ0165,XYZ2373
XYZ2928,XYZ0663,,XYZ3903,XYZ3472
XYZ4285,XYZ1930,,XYZ4573,XYZ2337
XYZ4684,XYZ1745,,XYZ4483,XYZ3514
XYZ2403,XYZ2350,,XYZ4819,XYZ3397
XYZ1207,XYZ4151,,XYZ3878,XYZ0040
XYZ1433,XYZ1748,,XYZ0784,XYZ4548
XYZ3873,XYZ1000,,XYZ4548,XYZ0868
XYZ4048,XYZ2627,,XYZ4636,XYZ1217
XYZ0881,XYZ2085,,XYZ3359,XYZ1866
XYZ1410,XYZ4776,,XYZ3241,XYZ3409
XYZ4146,XYZ1866,,XYZ1312,XYZ2052
XYZ4305,XYZ2609,,XYZ2018,XYZ1998
XYZ2756,XYZ3990,,XYZ0935,XYZ0550
XYZ4586,XYZ4233,,XYZ1211,XYZ3850
XYZ1926,XYZ2214,,XYZ4728,XYZ0257
XYZ0422,XYZ1082,,XYZ2240,XYZ1689
XYZ2314,XYZ0962,,XYZ4838,XYZ3230
XYZ2899,XYZ2782,,XYZ0875,XYZ0092
XYZ1929,XYZ1492,,XYZ3325,XYZ1817
XYZ1487,XYZ0923,,XYZ3260,XYZ4142
XYZ0332,XYZ4304,,XYZ2975,XYZ1803
XYZ3090,XYZ0762,,XYZ3830,XYZ1075
XYZ2009,XYZ1398,,XYZ4724,XYZ4386
XYZ4965,XYZ1228,,XYZ1919,XYZ4824
XYZ0633,XYZ1365,,XYZ2851,XYZ1381
XYZ4011,XYZ0787,,XYZ2582,XYZ0535
XYZ0738,XYZ0842,,XYZ3822,XYZ3110
XYZ1534,XYZ3297,,XYZ4250,XYZ2791
XYZ3313,XYZ3231,,XYZ4322,XYZ2196
XYZ0330,XYZ1389,,XYZ2663,XYZ3948
XYZ2500,XYZ0915,,XYZ1576,XYZ2259
XYZ2584,XYZ4068,,XYZ4675,XYZ4152
XYZ1947,XYZ0637,,XYZ0512,XYZ3541
XYZ0460,XYZ2323,,XYZ0997,
XYZ2434,XYZ1366,,XYZ3130,
XYZ0935,XYZ4242,,XYZ3300,
XYZ1857,XYZ3585,,XYZ1459,
XYZ3907,XYZ1597,,XYZ1984,
XYZ1459,XYZ0961,,,
XYZ3249,XYZ0251,,,
XYZ4226,XYZ2131,,,
XYZ0601,XYZ4716,,,
XYZ3729,XYZ3779,,,
XYZ3752,,,,
XYZ3450,,,,
XYZ1185,,,,
XYZ3101,,,,
XYZ3350,,,,
XYZ1602,,,,
XYZ3750,,,,
XYZ0482,,,,
XYZ0296,,,,
XYZ2399,,,,
XYZ3076,,,,
XYZ2451,,,,
XYZ3034,,,,
XYZ4266,,,,
XYZ1644,,,,
XYZ1484,,,,
XYZ2541,,,,
XYZ2472,,,,
XYZ3581,,,,
XYZ4609,,,,
XYZ0587,,,,
XYZ3483,,,,
XYZ4726,,,,
XYZ2159,,,,
XYZ2951,,,,
XYZ4356,,,,
XYZ4987,,,,
XYZ1116,,,,
XYZ4842,,,,
XYZ0765,,,,
XYZ2072,,,,
XYZ4882,,,,
XYZ1798,,,,
XYZ1082,,,,
XYZ4339,,,,
XYZ4934,,,,
XYZ0357,,,,
XYZ1682,,,,
XYZ4609,,,,
XYZ0246,,,,
XYZ1304,,,,
